🕘️更新时间,#genre#
2026-04-26 14:10:06,https://turkmedya-live.ercdn.net/tv360/tv360.m3u8

📺香港综合,#genre#
ViuTV,https://turkmedya-live.ercdn.net/tv360/tv360.m3u8
港台電視 31,https://live.hkdvb.com/hls/live/31.m3u8?token=685252555980754
C+频道,https://stream1.freetv.fun/32345d09e1f050cce33ecccc9c803cc97866cc36ddd83a8cca5395d0cd5ed20e.m3u8

📰香港新闻财经,#genre#
TVB无线新闻,https://stream1.freetv.fun/ccba0351b8318bedd9168ef7a76e3b2e9a0bee295e05694b0feb45aa0916b97d.ctv
TVB无线新闻,https://stream1.freetv.fun/9226b0d3b99778a509e911ce89c6a95ab011763c6cea4b2f682e76b6659a52d7.ctv
KTSF26,http://38.64.72.148:80/hls/modn/list/4026/playlist.m3u8

🏀香港体育,#genre#

🎬香港影视,#genre#
TVN,https://live.hkdvb.com/hls/live/510.m3u8?token=685252555980754

🎰澳门频道,#genre#

📡台湾新闻,#genre#
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8

📺台湾综合,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第1台,http://61.221.215.25:8800/hls/55/index.m3u8

🎭台湾戏剧电影,#genre#
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
龙华偶像,https://stream1.freetv.fun/2476672379ed8946c1db1da75ba0b44e6be5a1d01f1d772ea621266cb62afd66.ctv
龙华日韩,https://stream1.freetv.fun/b6200a5327e4f6008ddf569ef538b0b026d6f3fbdd2248363735c006f8577326.ctv
龙华电影,https://stream1.freetv.fun/890a2f4d66593bb51749c90826814911941e2ad758c5d4528ceb2785ddf0a37f.ctv
龙华经典,https://stream1.freetv.fun/4e122ffecac69bbab2b83c2a0af88a9e65cb34da2eb393b62fe0169ed6157bfa.ctv

🌏台湾其他,#genre#
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
